Model,Product,Month,Payment_SAR,Principal_SAR,Interest_SAR,Balance_SAR
BYD QIN Plus DM-i (Comfort),Loan (60m),39,1100.3,1004.3,96.0,22082.31
BYD QIN Plus DM-i (Comfort),Loan (60m),40,1100.3,1008.48,91.83,21073.84
BYD QIN Plus DM-i (Comfort),Loan (60m),41,1100.3,1012.67,87.63,20061.17
BYD QIN Plus DM-i (Comfort),Loan (60m),42,1100.3,1016.88,83.42,19044.28
BYD QIN Plus DM-i (Comfort),Loan (60m),43,1100.3,1021.11,79.19,18023.17
BYD QIN Plus DM-i (Comfort),Loan (60m),44,1100.3,1025.36,74.95,16997.82
BYD QIN Plus DM-i (Comfort),Loan (60m),45,1100.3,1029.62,70.68,15968.2
BYD QIN Plus DM-i (Comfort),Loan (60m),46,1100.3,1033.9,66.4,14934.29
BYD QIN Plus DM-i (Comfort),Loan (60m),47,1100.3,1038.2,62.1,13896.09
BYD QIN Plus DM-i (Comfort),Loan (60m),48,1100.3,1042.52,57.78,12853.57
BYD QIN Plus DM-i (Comfort),Loan (60m),49,1100.3,1046.85,53.45,11806.72
BYD QIN Plus DM-i (Comfort),Loan (60m),50,1100.3,1051.21,49.1,10755.51
BYD QIN Plus DM-i (Comfort),Loan (60m),51,1100.3,1055.58,44.73,9699.93
BYD QIN Plus DM-i (Comfort),Loan (60m),52,1100.3,1059.97,40.34,8639.97
BYD QIN Plus DM-i (Comfort),Loan (60m),53,1100.3,1064.38,35.93,7575.59
BYD QIN Plus DM-i (Comfort),Loan (60m),54,1100.3,1068.8,31.5,6506.79
BYD QIN Plus DM-i (Comfort),Loan (60m),55,1100.3,1073.25,27.06,5433.54
BYD QIN Plus DM-i (Comfort),Loan (60m),56,1100.3,1077.71,22.59,4355.84
BYD QIN Plus DM-i (Comfort),Loan (60m),57,1100.3,1082.19,18.11,3273.65
BYD QIN Plus DM-i (Comfort),Loan (60m),58,1100.3,1086.69,13.61,2186.96
BYD QIN Plus DM-i (Comfort),Loan (60m),59,1100.3,1091.21,9.09,1095.75
BYD QIN Plus DM-i (Comfort),Loan (60m),60,1100.3,1095.75,4.56,0.0
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),1,998.96,756.45,242.51,57563.55
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),2,998.96,759.6,239.37,56803.96
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),3,998.96,762.75,236.21,56041.2
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),4,998.96,765.93,233.04,55275.28
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),5,998.96,769.11,229.85,54506.17
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),6,998.96,772.31,226.65,53733.86
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),7,998.96,775.52,223.44,52958.34
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),8,998.96,778.75,220.22,52179.59
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),9,998.96,781.98,216.98,51397.61
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),10,998.96,785.24,213.73,50612.37
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),11,998.96,788.5,210.46,49823.87
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),12,998.96,791.78,207.18,49032.09
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),13,998.96,795.07,203.89,48237.02
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),14,998.96,798.38,200.59,47438.64
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),15,998.96,801.7,197.27,46636.95
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),16,998.96,805.03,193.93,45831.91
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),17,998.96,808.38,190.58,45023.53
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),18,998.96,811.74,187.22,44211.79
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),19,998.96,815.12,183.85,43396.68
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),20,998.96,818.51,180.46,42578.17
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),21,998.96,821.91,177.05,41756.26
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),22,998.96,825.33,173.64,40930.94
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),23,998.96,828.76,170.2,40102.18
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),24,998.96,832.21,166.76,39269.97
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),25,998.96,835.67,163.3,38434.31
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),26,998.96,839.14,159.82,37595.16
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),27,998.96,842.63,156.33,36752.53
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),28,998.96,846.13,152.83,35906.4
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),29,998.96,849.65,149.31,35056.75
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),30,998.96,853.19,145.78,34203.56
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),31,998.96,856.73,142.23,33346.83
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),32,998.96,860.3,138.67,32486.53
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),33,998.96,863.87,135.09,31622.66
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),34,998.96,867.47,131.5,30755.19
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),35,998.96,871.07,127.89,29884.12
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),36,998.96,874.7,124.27,29009.42
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),37,998.96,878.33,120.63,28131.09
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),38,998.96,881.99,116.98,27249.11
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),39,998.96,885.65,113.31,26363.45
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),40,998.96,889.34,109.63,25474.12
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),41,998.96,893.03,105.93,24581.08
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),42,998.96,896.75,102.22,23684.34
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),43,998.96,900.48,98.49,22783.86
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),44,998.96,904.22,94.74,21879.64
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),45,998.96,907.98,90.98,20971.66
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),46,998.96,911.76,87.21,20059.9
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),47,998.96,915.55,83.42,19144.35
BYD QIN Plus DM-i (Comfort),Auto Flex (48m),48,19223.96,919.35,79.61,18225.0
BYD QIN Plus DM-i (Premium),Loan (60m),1,1281.42,998.99,282.43,66921.01
BYD QIN Plus DM-i (Premium),Loan (60m),2,1281.42,1003.14,278.28,65917.87
BYD QIN Plus DM-i (Premium),Loan (60m),3,1281.42,1007.31,274.11,64910.55
BYD QIN Plus DM-i (Premium),Loan (60m),4,1281.42,1011.5,269.92,63899.05
BYD QIN Plus DM-i (Premium),Loan (60m),5,1281.42,1015.71,265.71,62883.34
BYD QIN Plus DM-i (Premium),Loan (60m),6,1281.42,1019.93,261.49,61863.41
BYD QIN Plus DM-i (Premium),Loan (60m),7,1281.42,1024.17,257.25,60839.23
BYD QIN Plus DM-i (Premium),Loan (60m),8,1281.42,1028.43,252.99,59810.8
BYD QIN Plus DM-i (Premium),Loan (60m),9,1281.42,1032.71,248.71,58778.09
BYD QIN Plus DM-i (Premium),Loan (60m),10,1281.42,1037.0,244.42,57741.09
BYD QIN Plus DM-i (Premium),Loan (60m),11,1281.42,1041.32,240.11,56699.77
BYD QIN Plus DM-i (Premium),Loan (60m),12,1281.42,1045.65,235.78,55654.12
BYD QIN Plus DM-i (Premium),Loan (60m),13,1281.42,1049.99,231.43,54604.13
BYD QIN Plus DM-i (Premium),Loan (60m),14,1281.42,1054.36,227.06,53549.77
BYD QIN Plus DM-i (Premium),Loan (60m),15,1281.42,1058.75,222.68,52491.02
BYD QIN Plus DM-i (Premium),Loan (60m),16,1281.42,1063.15,218.28,51427.87
BYD QIN Plus DM-i (Premium),Loan (60m),17,1281.42,1067.57,213.85,50360.31
BYD QIN Plus DM-i (Premium),Loan (60m),18,1281.42,1072.01,209.41,49288.3
BYD QIN Plus DM-i (Premium),Loan (60m),19,1281.42,1076.47,204.96,48211.83
BYD QIN Plus DM-i (Premium),Loan (60m),20,1281.42,1080.94,200.48,47130.89
BYD QIN Plus DM-i (Premium),Loan (60m),21,1281.42,1085.44,195.99,46045.45
BYD QIN Plus DM-i (Premium),Loan (60m),22,1281.42,1089.95,191.47,44955.5
BYD QIN Plus DM-i (Premium),Loan (60m),23,1281.42,1094.48,186.94,43861.02
BYD QIN Plus DM-i (Premium),Loan (60m),24,1281.42,1099.03,182.39,42761.98
BYD QIN Plus DM-i (Premium),Loan (60m),25,1281.42,1103.6,177.82,41658.38
BYD QIN Plus DM-i (Premium),Loan (60m),26,1281.42,1108.19,173.23,40550.19
BYD QIN Plus DM-i (Premium),Loan (60m),27,1281.42,1112.8,168.62,39437.38
BYD QIN Plus DM-i (Premium),Loan (60m),28,1281.42,1117.43,163.99,38319.95
BYD QIN Plus DM-i (Premium),Loan (60m),29,1281.42,1122.08,159.35,37197.88
BYD QIN Plus DM-i (Premium),Loan (60m),30,1281.42,1126.74,154.68,36071.14
BYD QIN Plus DM-i (Premium),Loan (60m),31,1281.42,1131.43,150.0,34939.71
BYD QIN Plus DM-i (Premium),Loan (60m),32,1281.42,1136.13,145.29,33803.58
BYD QIN Plus DM-i (Premium),Loan (60m),33,1281.42,1140.86,140.57,32662.72
BYD QIN Plus DM-i (Premium),Loan (60m),34,1281.42,1145.6,135.82,31517.12
BYD QIN Plus DM-i (Premium),Loan (60m),35,1281.42,1150.36,131.06,30366.76
BYD QIN Plus DM-i (Premium),Loan (60m),36,1281.42,1155.15,126.28,29211.61
BYD QIN Plus DM-i (Premium),Loan (60m),37,1281.42,1159.95,121.47,28051.66
BYD QIN Plus DM-i (Premium),Loan (60m),38,1281.42,1164.77,116.65,26886.88
BYD QIN Plus DM-i (Premium),Loan (60m),39,1281.42,1169.62,111.8,25717.26
BYD QIN Plus DM-i (Premium),Loan (60m),40,1281.42,1174.48,106.94,24542.78
BYD QIN Plus DM-i (Premium),Loan (60m),41,1281.42,1179.37,102.06,23363.42
BYD QIN Plus DM-i (Premium),Loan (60m),42,1281.42,1184.27,97.15,22179.15
BYD QIN Plus DM-i (Premium),Loan (60m),43,1281.42,1189.19,92.23,20989.95
BYD QIN Plus DM-i (Premium),Loan (60m),44,1281.42,1194.14,87.28,19795.81
BYD QIN Plus DM-i (Premium),Loan (60m),45,1281.42,1199.11,82.32,18596.71
BYD QIN Plus DM-i (Premium),Loan (60m),46,1281.42,1204.09,77.33,17392.61
BYD QIN Plus DM-i (Premium),Loan (60m),47,1281.42,1209.1,72.32,16183.51
BYD QIN Plus DM-i (Premium),Loan (60m),48,1281.42,1214.13,67.3,14969.39
BYD QIN Plus DM-i (Premium),Loan (60m),49,1281.42,1219.18,62.25,13750.21
BYD QIN Plus DM-i (Premium),Loan (60m),50,1281.42,1224.25,57.18,12525.97
BYD QIN Plus DM-i (Premium),Loan (60m),51,1281.42,1229.34,52.09,11296.63
BYD QIN Plus DM-i (Premium),Loan (60m),52,1281.42,1234.45,46.98,10062.18
BYD QIN Plus DM-i (Premium),Loan (60m),53,1281.42,1239.58,41.84,8822.6
BYD QIN Plus DM-i (Premium),Loan (60m),54,1281.42,1244.74,36.69,7577.87
BYD QIN Plus DM-i (Premium),Loan (60m),55,1281.42,1249.91,31.51,6327.96
BYD QIN Plus DM-i (Premium),Loan (60m),56,1281.42,1255.11,26.31,5072.85
BYD QIN Plus DM-i (Premium),Loan (60m),57,1281.42,1260.33,21.09,3812.52
BYD QIN Plus DM-i (Premium),Loan (60m),58,1281.42,1265.57,15.85,2546.95
BYD QIN Plus DM-i (Premium),Loan (60m),59,1281.42,1270.83,10.59,1276.12
BYD QIN Plus DM-i (Premium),Loan (60m),60,1281.42,1276.12,5.31,0.0
BYD QIN Plus DM-i (Premium),Auto Flex (48m),1,1163.4,880.97,282.43,67039.03
BYD QIN Plus DM-i (Premium),Auto Flex (48m),2,1163.4,884.63,278.77,66154.4
BYD QIN Plus DM-i (Premium),Auto Flex (48m),3,1163.4,888.31,275.09,65266.09
BYD QIN Plus DM-i (Premium),Auto Flex (48m),4,1163.4,892.0,271.4,64374.09
BYD QIN Plus DM-i (Premium),Auto Flex (48m),5,1163.4,895.71,267.69,63478.37
BYD QIN Plus DM-i (Premium),Auto Flex (48m),6,1163.4,899.44,263.96,62578.94
BYD QIN Plus DM-i (Premium),Auto Flex (48m),7,1163.4,903.18,260.22,61675.76
BYD QIN Plus DM-i (Premium),Auto Flex (48m),8,1163.4,906.93,256.47,60768.82
BYD QIN Plus DM-i (Premium),Auto Flex (48m),9,1163.4,910.7,252.7,59858.12
BYD QIN Plus DM-i (Premium),Auto Flex (48m),10,1163.4,914.49,248.91,58943.63
BYD QIN Plus DM-i (Premium),Auto Flex (48m),11,1163.4,918.29,245.11,58025.33
BYD QIN Plus DM-i (Premium),Auto Flex (48m),12,1163.4,922.11,241.29,57103.22
BYD QIN Plus DM-i (Premium),Auto Flex (48m),13,1163.4,925.95,237.45,56177.27
BYD QIN Plus DM-i (Premium),Auto Flex (48m),14,1163.4,929.8,233.6,55247.47
BYD QIN Plus DM-i (Premium),Auto Flex (48m),15,1163.4,933.66,229.74,54313.81
BYD QIN Plus DM-i (Premium),Auto Flex (48m),16,1163.4,937.55,225.85,53376.26
BYD QIN Plus DM-i (Premium),Auto Flex (48m),17,1163.4,941.45,221.96,52434.82
BYD QIN Plus DM-i (Premium),Auto Flex (48m),18,1163.4,945.36,218.04,51489.46
BYD QIN Plus DM-i (Premium),Auto Flex (48m),19,1163.4,949.29,214.11,50540.16
BYD QIN Plus DM-i (Premium),Auto Flex (48m),20,1163.4,953.24,210.16,49586.93
BYD QIN Plus DM-i (Premium),Auto Flex (48m),21,1163.4,957.2,206.2,48629.72
BYD QIN Plus DM-i (Premium),Auto Flex (48m),22,1163.4,961.18,202.22,47668.54
BYD QIN Plus DM-i (Premium),Auto Flex (48m),23,1163.4,965.18,198.22,46703.36
BYD QIN Plus DM-i (Premium),Auto Flex (48m),24,1163.4,969.19,194.21,45734.16
BYD QIN Plus DM-i (Premium),Auto Flex (48m),25,1163.4,973.22,190.18,44760.94
BYD QIN Plus DM-i (Premium),Auto Flex (48m),26,1163.4,977.27,186.13,43783.67
BYD QIN Plus DM-i (Premium),Auto Flex (48m),27,1163.4,981.33,182.07,42802.33
BYD QIN Plus DM-i (Premium),Auto Flex (48m),28,1163.4,985.42,177.99,41816.92
BYD QIN Plus DM-i (Premium),Auto Flex (48m),29,1163.4,989.51,173.89,40827.41
BYD QIN Plus DM-i (Premium),Auto Flex (48m),30,1163.4,993.63,169.77,39833.78
BYD QIN Plus DM-i (Premium),Auto Flex (48m),31,1163.4,997.76,165.64,38836.02
BYD QIN Plus DM-i (Premium),Auto Flex (48m),32,1163.4,1001.91,161.49,37834.11
BYD QIN Plus DM-i (Premium),Auto Flex (48m),33,1163.4,1006.08,157.33,36828.03
BYD QIN Plus DM-i (Premium),Auto Flex (48m),34,1163.4,1010.26,153.14,35817.78
BYD QIN Plus DM-i (Premium),Auto Flex (48m),35,1163.4,1014.46,148.94,34803.32
BYD QIN Plus DM-i (Premium),Auto Flex (48m),36,1163.4,1018.68,144.72,33784.64
BYD QIN Plus DM-i (Premium),Auto Flex (48m),37,1163.4,1022.91,140.49,32761.72
BYD QIN Plus DM-i (Premium),Auto Flex (48m),38,1163.4,1027.17,136.23,31734.56
BYD QIN Plus DM-i (Premium),Auto Flex (48m),39,1163.4,1031.44,131.96,30703.12
BYD QIN Plus DM-i (Premium),Auto Flex (48m),40,1163.4,1035.73,127.67,29667.39
BYD QIN Plus DM-i (Premium),Auto Flex (48m),41,1163.4,1040.04,123.37,28627.35
BYD QIN Plus DM-i (Premium),Auto Flex (48m),42,1163.4,1044.36,119.04,27582.99
BYD QIN Plus DM-i (Premium),Auto Flex (48m),43,1163.4,1048.7,114.7,26534.29
BYD QIN Plus DM-i (Premium),Auto Flex (48m),44,1163.4,1053.06,110.34,25481.23
BYD QIN Plus DM-i (Premium),Auto Flex (48m),45,1163.4,1057.44,105.96,24423.78
BYD QIN Plus DM-i (Premium),Auto Flex (48m),46,1163.4,1061.84,101.56,23361.94
BYD QIN Plus DM-i (Premium),Auto Flex (48m),47,1163.4,1066.26,97.15,22295.69
BYD QIN Plus DM-i (Premium),Auto Flex (48m),48,22388.4,1070.69,92.71,21225.0
BYD Seal 7 DM-i (Comfort),Loan (60m),1,1583.29,1234.32,348.97,82685.68
BYD Seal 7 DM-i (Comfort),Loan (60m),2,1583.29,1239.45,343.83,81446.22
BYD Seal 7 DM-i (Comfort),Loan (60m),3,1583.29,1244.61,338.68,80201.61
BYD Seal 7 DM-i (Comfort),Loan (60m),4,1583.29,1249.78,333.51,78951.83
BYD Seal 7 DM-i (Comfort),Loan (60m),5,1583.29,1254.98,328.31,77696.85
BYD Seal 7 DM-i (Comfort),Loan (60m),6,1583.29,1260.2,323.09,76436.65
BYD Seal 7 DM-i (Comfort),Loan (60m),7,1583.29,1265.44,317.85,75171.21
BYD Seal 7 DM-i (Comfort),Loan (60m),8,1583.29,1270.7,312.59,73900.51
BYD Seal 7 DM-i (Comfort),Loan (60m),9,1583.29,1275.99,307.3,72624.52
BYD Seal 7 DM-i (Comfort),Loan (60m),10,1583.29,1281.29,302.0,71343.23
BYD Seal 7 DM-i (Comfort),Loan (60m),11,1583.29,1286.62,296.67,70056.61
BYD Seal 7 DM-i (Comfort),Loan (60m),12,1583.29,1291.97,291.32,68764.63
BYD Seal 7 DM-i (Comfort),Loan (60m),13,1583.29,1297.34,285.95,67467.29
BYD Seal 7 DM-i (Comfort),Loan (60m),14,1583.29,1302.74,280.55,66164.55
BYD Seal 7 DM-i (Comfort),Loan (60m),15,1583.29,1308.16,275.13,64856.4
BYD Seal 7 DM-i (Comfort),Loan (60m),16,1583.29,1313.59,269.69,63542.8
BYD Seal 7 DM-i (Comfort),Loan (60m),17,1583.29,1319.06,264.23,62223.75
BYD Seal 7 DM-i (Comfort),Loan (60m),18,1583.29,1324.54,258.75,60899.2
BYD Seal 7 DM-i (Comfort),Loan (60m),19,1583.29,1330.05,253.24,59569.15
BYD Seal 7 DM-i (Comfort),Loan (60m),20,1583.29,1335.58,247.71,58233.57
BYD Seal 7 DM-i (Comfort),Loan (60m),21,1583.29,1341.13,242.15,56892.44
BYD Seal 7 DM-i (Comfort),Loan (60m),22,1583.29,1346.71,236.58,55545.73
BYD Seal 7 DM-i (Comfort),Loan (60m),23,1583.29,1352.31,230.98,54193.41
BYD Seal 7 DM-i (Comfort),Loan (60m),24,1583.29,1357.94,225.35,52835.48
BYD Seal 7 DM-i (Comfort),Loan (60m),25,1583.29,1363.58,219.71,51471.9
BYD Seal 7 DM-i (Comfort),Loan (60m),26,1583.29,1369.25,214.04,50102.64
BYD Seal 7 DM-i (Comfort),Loan (60m),27,1583.29,1374.95,208.34,48727.7
BYD Seal 7 DM-i (Comfort),Loan (60m),28,1583.29,1380.66,202.63,47347.03
BYD Seal 7 DM-i (Comfort),Loan (60m),29,1583.29,1386.4,196.88,45960.63
BYD Seal 7 DM-i (Comfort),Loan (60m),30,1583.29,1392.17,191.12,44568.46
BYD Seal 7 DM-i (Comfort),Loan (60m),31,1583.29,1397.96,185.33,43170.5
BYD Seal 7 DM-i (Comfort),Loan (60m),32,1583.29,1403.77,179.52,41766.73
BYD Seal 7 DM-i (Comfort),Loan (60m),33,1583.29,1409.61,173.68,40357.12
BYD Seal 7 DM-i (Comfort),Loan (60m),34,1583.29,1415.47,167.82,38941.65
BYD Seal 7 DM-i (Comfort),Loan (60m),35,1583.29,1421.36,161.93,37520.29
BYD Seal 7 DM-i (Comfort),Loan (60m),36,1583.29,1427.27,156.02,36093.02
BYD Seal 7 DM-i (Comfort),Loan (60m),37,1583.29,1433.2,150.09,34659.82
BYD Seal 7 DM-i (Comfort),Loan (60m),38,1583.29,1439.16,144.13,33220.66
BYD Seal 7 DM-i (Comfort),Loan (60m),39,1583.29,1445.15,138.14,31775.51
BYD Seal 7 DM-i (Comfort),Loan (60m),40,1583.29,1451.16,132.13,30324.36
BYD Seal 7 DM-i (Comfort),Loan (60m),41,1583.29,1457.19,126.1,28867.16
BYD Seal 7 DM-i (Comfort),Loan (60m),42,1583.29,1463.25,120.04,27403.91
BYD Seal 7 DM-i (Comfort),Loan (60m),43,1583.29,1469.33,113.95,25934.58
BYD Seal 7 DM-i (Comfort),Loan (60m),44,1583.29,1475.44,107.84,24459.14
BYD Seal 7 DM-i (Comfort),Loan (60m),45,1583.29,1481.58,101.71,22977.55
BYD Seal 7 DM-i (Comfort),Loan (60m),46,1583.29,1487.74,95.55,21489.81
BYD Seal 7 DM-i (Comfort),Loan (60m),47,1583.29,1493.93,89.36,19995.89
BYD Seal 7 DM-i (Comfort),Loan (60m),48,1583.29,1500.14,83.15,18495.75
BYD Seal 7 DM-i (Comfort),Loan (60m),49,1583.29,1506.38,76.91,16989.37
BYD Seal 7 DM-i (Comfort),Loan (60m),50,1583.29,1512.64,70.65,15476.73
BYD Seal 7 DM-i (Comfort),Loan (60m),51,1583.29,1518.93,64.36,13957.79
BYD Seal 7 DM-i (Comfort),Loan (60m),52,1583.29,1525.25,58.04,12432.55
BYD Seal 7 DM-i (Comfort),Loan (60m),53,1583.29,1531.59,51.7,10900.95
BYD Seal 7 DM-i (Comfort),Loan (60m),54,1583.29,1537.96,45.33,9363.0
BYD Seal 7 DM-i (Comfort),Loan (60m),55,1583.29,1544.36,38.93,7818.64
BYD Seal 7 DM-i (Comfort),Loan (60m),56,1583.29,1550.78,32.51,6267.86
BYD Seal 7 DM-i (Comfort),Loan (60m),57,1583.29,1557.23,26.06,4710.64
BYD Seal 7 DM-i (Comfort),Loan (60m),58,1583.29,1563.7,19.59,3146.94
BYD Seal 7 DM-i (Comfort),Loan (60m),59,1583.29,1570.2,13.09,1576.73
BYD Seal 7 DM-i (Comfort),Loan (60m),60,1583.29,1576.73,6.56,0.0
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),1,1437.47,1088.5,348.97,82831.5
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),2,1437.47,1093.03,344.44,81738.48
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),3,1437.47,1097.57,339.9,80640.91
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),4,1437.47,1102.13,335.33,79538.77
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),5,1437.47,1106.72,330.75,78432.05
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),6,1437.47,1111.32,326.15,77320.73
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),7,1437.47,1115.94,321.53,76204.79
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),8,1437.47,1120.58,316.88,75084.21
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),9,1437.47,1125.24,312.23,73958.97
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),10,1437.47,1129.92,307.55,72829.05
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),11,1437.47,1134.62,302.85,71694.43
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),12,1437.47,1139.34,298.13,70555.1
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),13,1437.47,1144.07,293.39,69411.02
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),14,1437.47,1148.83,288.63,68262.19
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),15,1437.47,1153.61,283.86,67108.58
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),16,1437.47,1158.41,279.06,65950.18
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),17,1437.47,1163.22,274.24,64786.95
BYD Seal 7 DM-i (Comfort),Auto Flex (48m),18,1437.47,1168.06,269.41,63618.89
